date,antitro_ratio,hns_momentum,category_momentum,competitor_pressure,medical_momentum,헤드앤숄더샴푸,안티트로샴푸,지루성두피샴푸
2020-04-30,0.0,0.5210094798872662,0.13644843365012327,64.11168,0.1250778816199376,63.833333333333336,0.0,15.533333333333331
2020-05-31,0.0,-0.06105990783410142,-0.03824376354871073,68.52746,-0.3544094198454558,52.58064516129032,0.0,11.709677419354838
2020-06-30,0.0,-0.19658726136171656,-0.053002610966057406,89.98853,-0.42314674735249624,51.13333333333333,0.0,12.3
2020-07-31,0.0,-0.26471826833993095,0.022563610177628313,88.61670000000001,-0.26900179980617456,46.935483870967744,0.0,11.35483870967742
2020-08-31,0.0,-0.1092024539877301,0.1482926829268294,81.80354,0.024793388429752206,46.83870967741935,0.0,12.0
2020-09-30,0.0,-0.09843546284224247,0.021842355175688555,91.22505,-0.13821138211382122,46.1,0.0,10.6
2020-10-31,0.0,0.0068728522336769515,-0.025897319400272623,114.7443,-0.07102272727272729,47.25806451612903,0.0,10.548387096774194
2020-11-30,0.0,0.0141184573002755,-0.07684791843670358,90.21363,0.002777777777777546,47.5,0.0,12.033333333333331
2020-12-31,0.0,0.23854173955636404,0.1030998920733901,81.60054000000001,0.4790018259281803,57.096774193548384,0.0,15.67741935483871
2021-01-31,0.0,-0.1324232081911263,-0.09981343283582089,83.20588000000001,-0.5779816513761469,41.0,0.0,4.451612903225806
2021-02-28,0.0,-0.3007518796992481,-0.20368860811086198,59.86926,-0.6764938662445588,33.214285714285715,0.0,3.892857142857143
2021-03-31,0.0,-0.2717514124293785,-0.314716673461068,63.7539,-0.8004115226337449,41.58064516129032,0.0,3.129032258064516
2021-04-30,0.0,0.0024390243902439046,-0.15512953367875648,61.45779000000001,-0.26618357487922695,41.1,0.0,3.2666666666666666
2021-05-31,0.0,0.30530697190426626,-0.004891337997647183,60.939040000000006,-0.26250369931932516,43.354838709677416,0.0,2.870967741935484
2021-06-30,0.0,0.002870442203258383,0.08496926432678964,63.276289999999996,-0.051890034364261095,41.7,0.0,2.966666666666667
2021-07-31,0.0,0.20241739266933534,0.16828161412976828,59.068810000000006,-0.08163265306122447,49.41935483870968,0.0,3.0
2021-08-31,0.0,0.24479166666666674,0.28861788617886175,63.10646,0.2359550561797752,53.96774193548387,0.0,3.5483870967741935
2021-09-30,0.0,0.13429256594724204,0.07705382436260622,60.382259999999995,0.022471910112359383,47.3,0.0,3.033333333333333
2021-10-31,0.0,0.08420365535248031,-0.025196850393700787,57.51963,-0.043010752688172005,53.58064516129032,0.0,2.870967741935484
2021-11-30,0.0,-0.08340306834030686,-0.16038756196484893,55.52025,-0.20151515151515142,49.46666666666667,0.0,2.8333333333333335
2021-12-31,0.0,0.19211621087089958,0.08279173949194818,50.430949999999996,-0.032258064516129004,56.38709677419355,0.0,2.935483870967742
2022-01-31,0.0,-0.030704394942805413,0.03607969843834136,49.69639,0.011235955056179803,51.935483870967744,0.0,2.903225806451613
2022-02-28,0.0,0.171062764728533,0.07380556215830758,40.87721,0.4117647058823528,57.92857142857143,0.0,4.0
2022-03-31,0.0,-0.003432494279176246,-0.09214856605547717,69.59147999999999,0.31868131868131866,56.193548387096776,0.0,3.870967741935484
2022-04-30,0.0,0.0654244306418219,-0.03541233541233535,38.43692,0.37777777777777777,55.333333333333336,0.0,4.0
2022-05-31,0.0,0.024621136788512743,0.10666404841387433,56.51972,-0.008064516129032251,59.354838709677416,0.0,3.967741935483871
2022-06-30,0.0,-0.030137772675086105,0.202969100638702,57.43604,-0.06999999999999995,54.5,0.0,3.6
2022-07-31,0.0,-0.04275165176836382,0.2538616279905166,45.404430000000005,-0.09677419354838723,52.96774193548387,0.0,3.612903225806451
2022-08-31,0.0,-0.04510869565217379,0.06729900632339647,53.58722,-0.024390243902439046,56.67741935483871,0.0,3.870967741935484
2022-09-30,0.0,-0.16452599388379208,-0.14412811387900348,43.05613,-0.03703703703703698,45.53333333333333,0.0,3.466666666666667
2022-10-31,0.0,-0.18574908647990251,-0.1723248818220885,41.380039999999994,0.5446428571428574,43.12903225806452,0.0,5.580645161290323
2022-11-30,0.0,-0.14251565167899827,-0.05806178586542532,38.751799999999996,0.8600000000000001,48.6,0.0,7.2
2022-12-31,0.0,0.06479950880838814,0.026088122862316432,37.188480000000006,0.7959057071960296,48.483870967741936,0.0,6.225806451612903
2023-01-31,0.0,0.24607329842931924,0.30477673935617844,40.50441,-0.3988439306358381,53.74193548387097,0.0,3.3548387096774195
2023-02-28,0.0,0.12580834803057028,0.12863111818543582,37.847860000000004,-0.41468253968253965,54.714285714285715,0.0,4.214285714285714
2023-03-31,0.0,0.04723885562208907,0.13872549019607838,77.45011000000001,-0.37823834196891193,50.774193548387096,0.0,3.870967741935484
2023-04-30,0.0,-0.098779511804722,-0.09989388513065389,37.724039999999995,0.1823717948717949,48.43333333333333,0.0,3.966666666666667
2023-05-31,0.0,0.05651478143687361,-0.09000696626338178,44.018440000000005,-0.012575177692728312,57.806451612903224,0.0,4.161290322580645
2023-06-30,0.0,0.3254764930114358,-0.044956234753910196,38.67839,-0.1905555555555556,67.3,0.0,3.1333333333333333
2023-07-31,0.0,0.34471505006327297,-0.025626667059638453,39.4501,-0.21116833830306325,65.12903225806451,0.0,3.129032258064516
2023-08-31,0.0,0.1411830357142858,-0.0034995625546805353,42.64264,-0.17829457364341084,65.96774193548387,0.0,3.4193548387096775
2023-09-30,0.0,-0.2867756315007429,-0.1131811830461108,39.85918,-0.13829787234042545,48.0,0.0,2.7
2023-10-31,0.0,-0.2317979197622585,-0.08666061705989103,38.98619,-0.020618556701030966,50.03225806451613,0.0,3.064516129032258
2023-11-30,0.0,-0.12280358598207008,-0.06918349429323967,51.273419999999994,-0.08364779874213835,57.86666666666667,0.0,3.1333333333333333
2023-12-31,0.0,0.16397849462365577,-0.0724112225535376,33.62712,-0.2353643966547193,55.87096774193548,0.0,2.064516129032258
2024-01-31,0.0,-0.027724049000644624,-0.02235469448584204,37.112410000000004,-0.17894736842105263,48.645161290322584,0.0,2.5161290322580645
2024-02-29,0.0,-0.37430478309232484,-0.07491429723734622,33.3547,0.08950843727072644,36.206896551724135,0.0,3.413793103448276
2024-03-31,0.0,-0.3862586605080831,-0.021369863013698587,33.44757,0.890625,34.29032258064516,0.0,3.903225806451613
2024-04-30,0.0,-0.33874889478337766,-0.15096544715447158,31.280589999999997,0.40427350427350417,32.166666666666664,0.0,3.533333333333333
2024-05-31,0.0,0.03348694316436274,-0.10224136415575291,33.14596,0.3418051482567612,37.41935483870968,0.0,4.580645161290323
2024-06-30,0.0,-0.028880526810912577,-0.015266890630832308,32.804990000000004,-0.07768595041322313,33.3,0.0,3.6
2024-07-31,0.0,0.3397960889186027,0.1778083667484589,32.93766,0.2051125989044431,43.096774193548384,0.0,4.258064516129032
2024-08-31,0.0,-0.0956896551724139,0.05167518455423048,32.67674,-0.24647887323943662,33.83870967741935,0.0,3.4516129032258065
2024-09-30,0.0,-0.026026026026025995,-0.04641598119858992,28.642619999999997,0.03703703703703698,32.43333333333333,0.0,3.7333333333333334
2024-10-31,0.0,-0.21482035928143717,-0.20020325203252032,29.20559,-0.20454545454545447,33.83870967741935,0.0,3.3870967741935485
2024-11-30,0.0,-0.26218620908802037,-0.2289056875449963,29.126430000000003,-0.00529595015576334,24.966666666666665,0.0,3.433333333333333
2024-12-31,0.009358288770053475,-0.25604217087159753,-0.15031900304096357,29.91937,-0.11866359447004604,24.129032258064516,0.2258064516129032,3.2903225806451615
2025-01-31,0.026136363636363638,0.6777883698760725,0.42185514612452346,32.31365,2.5619047619047617,56.774193548387096,1.4838709677419355,12.064516129032258
2025-02-28,0.025916561314791402,1.2630173564753004,0.711804837709324,31.89221,3.0568654646324553,56.5,1.4642857142857142,13.928571428571429
2025-03-31,0.333729216152019,1.251336898395722,0.46456140350877195,27.48925,2.1960784313725488,54.32258064516129,18.129032258064516,10.516129032258064
2025-04-30,0.4682220434432824,-0.2702083333333334,-0.056240691093237816,25.6597,-0.1434937611408199,41.43333333333333,19.4,10.333333333333334
2025-05-31,0.9623875715453802,-0.3017413645446759,-0.19863253856942498,29.18083,-0.40711331679073615,39.45161290322581,37.96774193548387,8.258064516129032
2025-06-30,1.0268714011516313,-0.36060965954077584,-0.12857371026992503,25.344820000000002,-0.5784253578732106,34.733333333333334,35.666666666666664,4.433333333333334
2025-07-31,0.8418891170431212,-0.24168894194586454,-0.11037813269364316,25.638469999999998,-0.45993756503642036,31.419354838709676,26.451612903225808,5.580645161290323
2025-08-31,0.9176470588235295,-0.3744889615699101,-0.2537008677896886,27.260170000000002,-0.35546875,24.677419354838708,22.64516129032258,5.32258064516129
2025-09-30,1.3981358189081223,-0.27927063339731284,-0.28295454545454535,23.61035,-0.13533834586466165,25.033333333333335,35.0,3.8333333333333335
2025-10-31,1.468242245199409,-0.3049281314168377,-0.41830761043108033,20.48149,-0.5144508670520231,21.838709677419356,32.064516129032256,2.7096774193548385
2025-11-30,1.7340764331210186,-0.15172113289760325,-0.32289101687186494,19.907459999999997,-0.4488888888888889,20.933333333333337,36.3,2.933333333333333
2025-12-31,1.2059973924380705,-0.011640393453889453,-0.21092991155871377,20.09763,-0.16690042075736333,24.741935483870968,29.838709677419356,3.193548387096774
2026-01-31,0.9704830053667264,2.302806499261447,1.354071363220494,22.72941,1.904761904761905,72.12903225806451,70.0,7.870967741935484
2026-02-28,1.3382009345794392,1.9208371246587803,1.452654339397554,20.46337,0.9967532467532467,61.142857142857146,81.82142857142857,5.857142857142857
2026-03-31,1.1628599801390267,1.6258148631029985,1.2934888241010687,21.300530000000002,1.060606060606061,64.96774193548387,75.54838709677419,6.580645161290323
2026-04-30,1.3272727272727274,-0.23747763864042926,0.03614457831325302,0.0,-0.6188524590163935,55.0,73.0,3.0
