cluster_segment,n_docs,churn_rate,competitor_rate,medical_rate,ingredient_rate,mean_churn_score,base_prob,switching_probability
Active Switcher,101,0.8217821782178217,1.0,0.24752475247524752,0.2079207920792079,1.5247524752475248,0.8931,0.95
Loyal,345,0.0,0.0,0.12173913043478261,0.20869565217391303,0.05507246376811594,0.0,0.0
Passive User,1298,0.2580893682588598,0.0,0.11171032357473036,0.150231124807396,0.44144838212634824,0.1549,0.1931
