segment,churn_rate,competitor_rate,medical_rate,ingredient_rate,n_docs,switching_probability
Active Switcher,1.0,1.0,0.2289156626506024,0.2289156626506024,83,0.7466
At-risk,1.0,0.0,0.4175824175824176,0.6043956043956044,91,0.7466
Passive User,0.19934640522875818,0.013071895424836602,0.0923202614379085,0.11601307189542484,1224,0.3463
Loyal,0.0,0.005780346820809248,0.12138728323699421,0.20809248554913296,346,0.2466
