date,actual,predicted
2025-02-28,56.5,46.249054
2025-03-31,54.32258064516129,61.052578
2025-04-30,41.43333333333333,54.224636
2025-05-31,39.45161290322581,41.374893
2025-06-30,34.733333333333334,36.29284
2025-07-31,31.419354838709676,36.268513
2025-08-31,24.677419354838708,38.15594
2025-09-30,25.033333333333335,35.691063
2025-10-31,21.83870967741936,34.404385
2025-11-30,20.933333333333334,33.327225
2025-12-31,24.741935483870968,34.355904
2026-01-31,72.12903225806451,36.485577
2026-02-28,61.142857142857146,45.518906
2026-03-31,64.96774193548387,63.121407
2026-04-30,55.0,43.40419
