date,forecast_median,forecast_low,forecast_high
2026-05-31,53.85396194458008,49.26256561279297,58.68701171875
2026-06-30,52.30048370361328,43.428389358520505,60.82736015319824
2026-07-31,51.610050201416016,37.90490570068359,62.139190673828125
2026-08-31,50.57439613342285,37.35255661010742,60.136925888061526
2026-09-30,52.30048370361328,37.870384216308594,61.48327865600586
2026-10-31,52.12787437438965,36.972816467285156,61.48327865600586
2026-11-30,50.574398040771484,36.90377540588379,61.96658096313477
2026-12-31,50.056570053100586,37.14542503356934,61.51780052185059
2027-01-31,50.229177474975586,34.1420337677002,57.4787525177002
2027-02-28,47.64004707336426,37.55968818664551,63.658148574829106
2027-03-31,47.640045166015625,35.4193359375,60.99996757507325
2027-04-30,47.12221908569336,40.66664772033691,55.200310516357426
