date,category_click,헤드앤숄더샴푸,헤드앤숄더차콜,헤드앤숄더,헤드앤숄더프로페셔널,헤드앤숄더클리니컬스트렝스,비듬샴푸,지루성두피샴푸,안티트로샴푸,지성두피샴푸,비듬,팬틴,헤드앤숄더_경쟁,닥터그루트,케라시스,두피케어카테고리
2020-01-31,61.096774193548384,41.96774193548387,0.0,19.967741935483872,0.0,25.548387096774192,34.645161290322584,13.806451612903226,0.0,4.741935483870968,2.0,3.55915,37.05272,26.65077,10.0371,56.6502
2020-02-29,68.75862068965517,56.0,0.0,28.137931034482758,0.0,28.379310344827587,48.06896551724138,18.137931034482758,0.0,5.310344827586207,2.8275862068965516,3.93285,40.64018,40.00114,9.78237,55.07493
2020-03-31,74.12903225806451,63.645161290322584,0.0,26.806451612903224,0.0,35.70967741935484,64.19354838709677,21.322580645161292,0.0,5.838709677419355,6.612903225806452,4.6338,54.35054,47.76955,10.54612,60.49814
2020-04-30,69.43333333333334,63.833333333333336,0.0,24.166666666666668,0.0,40.46666666666667,58.266666666666666,15.533333333333333,0.0,4.633333333333334,6.133333333333334,3.32255,47.42726,51.01295,9.77618,60.44418
2020-05-31,66.12903225806451,52.58064516129032,0.0,20.193548387096776,0.0,35.903225806451616,48.29032258064516,11.709677419354838,0.0,4.161290322580645,3.3548387096774195,3.6246,40.05244,56.09386,8.809,64.78301
2020-06-30,70.2,51.13333333333333,0.0,17.766666666666666,0.0,29.533333333333335,33.833333333333336,12.3,0.0,8.066666666666666,2.1333333333333333,3.32078,32.71876,78.64948,8.01827,66.31582
2020-07-31,71.0,46.935483870967744,0.0,17.806451612903224,0.0,26.096774193548388,13.67741935483871,11.35483870967742,0.0,9.161290322580646,1.7096774193548387,3.13548,32.89256,76.2574,9.22382,66.18005
2020-08-31,75.93548387096774,46.83870967741935,0.0,17.774193548387096,0.0,22.93548387096774,20.0,12.0,0.0,8.32258064516129,1.0,3.38624,32.76475,68.42354,9.99376,73.83082
2020-09-30,71.73333333333333,46.1,0.0,17.1,0.0,29.766666666666666,35.233333333333334,10.6,0.0,6.733333333333333,1.3,3.86386,36.88821,77.91094,9.45025,77.21352
2020-10-31,69.16129032258064,47.25806451612903,0.0,17.032258064516128,0.0,28.774193548387096,40.61290322580645,10.548387096774194,0.0,14.516129032258064,1.6451612903225807,5.14016,44.14583,100.0,9.60414,76.21804
2020-11-30,70.1,47.5,0.0,15.5,0.0,31.133333333333333,40.233333333333334,12.033333333333333,0.0,26.066666666666666,0.8,3.50608,41.83821,74.86876,11.83879,73.7322
2020-12-31,79.12903225806451,57.096774193548384,0.0,22.0,0.0,38.16129032258065,57.774193548387096,15.67741935483871,0.0,26.64516129032258,2.4516129032258065,3.29867,53.69868,67.48554,10.81633,75.47905
2021-01-31,62.25806451612903,41.0,0.0,16.096774193548388,0.0,39.38709677419355,19.225806451612904,4.451612903225806,0.0,10.483870967741936,0.8387096774193549,3.25445,57.65364,70.10538,9.84605,72.64561
2021-02-28,55.82142857142857,33.214285714285715,0.0,14.392857142857142,0.0,53.17857142857143,14.178571428571429,3.892857142857143,0.0,9.25,0.7142857142857143,2.76489,43.2211,48.60583,8.49854,60.29559
2021-03-31,54.225806451612904,41.58064516129032,0.0,18.096774193548388,0.0,46.83870967741935,13.935483870967742,3.129032258064516,0.0,9.35483870967742,0.45161290322580644,2.90242,46.27832,51.60511,9.24637,66.00404
2021-04-30,52.6,41.1,0.0,15.766666666666667,0.0,31.4,23.933333333333334,3.2666666666666666,0.0,9.466666666666667,0.26666666666666666,2.96699,39.53414,50.1236,8.3672,61.51662
2021-05-31,55.54838709677419,43.354838709677416,0.0,15.129032258064516,0.0,26.225806451612904,44.193548387096776,2.870967741935484,0.0,9.258064516129032,0.5161290322580645,2.66096,39.04635,49.35852,8.91956,66.0319
2021-06-30,58.833333333333336,41.7,0.0,14.366666666666667,0.0,27.3,36.266666666666666,2.966666666666667,0.0,11.0,0.36666666666666664,3.56225,35.86929,50.80731,8.90673,66.29017
2021-07-31,61.45161290322581,49.41935483870968,0.0,16.70967741935484,0.0,27.612903225806452,35.645161290322584,3.0,0.0,12.096774193548388,0.1935483870967742,2.73924,36.05857,46.94035,9.38922,72.46606
2021-08-31,71.58064516129032,53.96774193548387,0.0,18.741935483870968,0.0,39.54838709677419,35.516129032258064,3.5483870967741935,0.0,13.387096774193548,0.1935483870967742,2.97141,37.69928,48.84818,11.28687,78.2948
2021-09-30,63.36666666666667,47.3,0.0,15.4,0.0,38.53333333333333,34.53333333333333,3.033333333333333,0.0,10.0,0.13333333333333333,2.85422,34.991,47.44141,10.08663,77.14896
2021-10-31,59.903225806451616,53.58064516129032,0.0,15.32258064516129,0.0,37.58064516129032,43.774193548387096,2.870967741935484,0.0,10.32258064516129,0.3870967741935484,2.85289,38.8239,44.93523,9.73151,76.06148
2021-11-30,60.1,49.46666666666667,0.0,14.966666666666667,0.0,32.9,54.266666666666666,2.8333333333333335,0.0,8.433333333333334,0.9,2.50794,39.62126,43.53863,9.47368,71.52144
2021-12-31,68.61290322580645,56.38709677419355,0.0,15.258064516129032,0.0,30.516129032258064,66.87096774193549,2.935483870967742,0.0,9.451612903225806,0.7741935483870968,2.92498,42.98318,38.17823,9.32774,67.9928
