source,date,query,raw_text,unigram,bigram,unibi_mix,adj_noun,video_title,likes
blog,20260413,헤드앤숄더 후기,헤드앤숄더 쿨멘솔 샴푸로 가려운 두피를 시원하게 진정시키기 마지막으로 헤드앤숄더 쿨멘솔 샴푸는 가격 대비 성능이 우수해 가성비가 뛰어납니다 많은 소비자들이 긍정적인 후기 를 남기고 있으며 실제 사용 후 두피 건강이 개선된 사례도 많습니다 비듬과 가려움으로,"['진정', '마지막', '대비', '성능', '우수', '가성비', '소비자', '긍정', '실제', '건강', '개선', '사례', '비듬']","['진정_마지막', '마지막_대비', '대비_성능', '성능_우수', '우수_가성비', '가성비_소비자', '소비자_긍정', '긍정_실제', '실제_건강', '건강_개선', '개선_사례', '사례_비듬']","['진정', '마지막', '대비', '성능', '우수', '가성비', '소비자', '긍정', '실제', '건강', '개선', '사례', '비듬', '진정_마지막', '마지막_대비', '대비_성능', '성능_우수', '우수_가성비', '가성비_소비자', '소비자_긍정', '긍정_실제', '실제_건강', '건강_개선', '개선_사례', '사례_비듬']",[],,
blog,20260413,헤드앤숄더 후기,쿠팡 골드박스 모음 할인율 대박 상품들 2026 04 13 홈스타락스와세제 헤드앤숄더 두피토 부케가르니모이스 그린핑거촉촉한자 순수한면제로생리 긍정적 후기 요약 깨끗한나라 순수시그니처 화장지는 100 천연펄프로 만들어진 3겹의 두루마리,"['골드', '박스', '모음', '홈스타락스', '세제', '두피토', '부케가르니모이스', '그린핑거', '순수', '면제', '생리', '긍정', '요약', '나라', '순수시그니처', '화장지', '천연', '펄프', '두루마리']","['골드_박스', '박스_모음', '모음_홈스타락스', '홈스타락스_세제', '세제_두피토', '두피토_부케가르니모이스', '부케가르니모이스_그린핑거', '그린핑거_순수', '순수_면제', '면제_생리', '생리_긍정', '긍정_요약', '요약_나라', '나라_순수시그니처', '순수시그니처_화장지', '화장지_천연', '천연_펄프', '펄프_두루마리']","['골드', '박스', '모음', '홈스타락스', '세제', '두피토', '부케가르니모이스', '그린핑거', '순수', '면제', '생리', '긍정', '요약', '나라', '순수시그니처', '화장지', '천연', '펄프', '두루마리', '골드_박스', '박스_모음', '모음_홈스타락스', '홈스타락스_세제', '세제_두피토', '두피토_부케가르니모이스', '부케가르니모이스_그린핑거', '그린핑거_순수', '순수_면제', '면제_생리', '생리_긍정', '긍정_요약', '요약_나라', '나라_순수시그니처', '순수시그니처_화장지', '화장지_천연', '천연_펄프', '펄프_두루마리']",[],,
blog,20260413,헤드앤숄더 후기,헤드앤숄더 두피 토탈 딥클린 850ml 6개 실사용 후기 효과 헤드앤숄더 특유 성분으로 비듬 가려움 완화 도움 꾸준히 쓰면 확실히 줄어드는 느낌 4 거품 잘 남 소량으로도 거품 풍성 세정력 대비 사용감 부드러운 편 사용하기 편한 타입 5,"['토탈', '클린', '효과', '특유', '성분', '비듬', '완화', '도움', '느낌', '거품', '소량', '거품', '풍성', '세정', '대비', '타입']","['토탈_클린', '클린_효과', '효과_특유', '특유_성분', '성분_비듬', '비듬_완화', '완화_도움', '도움_느낌', '느낌_거품', '거품_소량', '소량_거품', '거품_풍성', '풍성_세정', '세정_대비', '대비_타입']","['토탈', '클린', '효과', '특유', '성분', '비듬', '완화', '도움', '느낌', '거품', '소량', '거품', '풍성', '세정', '대비', '타입', '토탈_클린', '클린_효과', '효과_특유', '특유_성분', '성분_비듬', '비듬_완화', '완화_도움', '도움_느낌', '느낌_거품', '거품_소량', '소량_거품', '거품_풍성', '풍성_세정', '세정_대비', '대비_타입']",[],,
blog,20260413,헤드앤숄더 후기,헤드앤숄더 지성샴푸 한달 써본 내돈내산 후기 헤드앤숄더 지성샴푸 헤드앤숄더 지성샴푸로 유명한 제품 사용해봤어요 저는 지성두피라서 비듬 머리 킹스파워샴푸 사용해본 후기 근데 써보니까 느낌이 확 달랐어요 처음 며칠은 솔직히 긴가민가했는데,"['지성', '지성', '유명', '지성두피', '비듬', '킹스', '파워', '느낌', '처음', '며칠']","['지성_지성', '지성_유명', '유명_지성두피', '지성두피_비듬', '비듬_킹스', '킹스_파워', '파워_느낌', '느낌_처음', '처음_며칠']","['지성', '지성', '유명', '지성두피', '비듬', '킹스', '파워', '느낌', '처음', '며칠', '지성_지성', '지성_유명', '유명_지성두피', '지성두피_비듬', '비듬_킹스', '킹스_파워', '파워_느낌', '느낌_처음', '처음_며칠']",[],,
blog,20260412,헤드앤숄더 후기,아로마티카 샴푸 풋 헤드앤숄더 ts 추천 여러 사용자의 후기 에서도 긍정적인 반응을 이끌어내고 있죠 추천 제품과 사용법 아로마티카 샴푸와 헤드앤숄더 의 조합은 정말 추천할 만한 최상의 선택입니다 샴푸 후에는 헤드앤숄더 의 컨디셔너를,"['아로마', '사용자', '긍정', '반응', '사용법', '아로마티카', '조합', '최상', '선택', '컨디셔너']","['아로마_사용자', '사용자_긍정', '긍정_반응', '반응_사용법', '사용법_아로마티카', '아로마티카_조합', '조합_최상', '최상_선택', '선택_컨디셔너']","['아로마', '사용자', '긍정', '반응', '사용법', '아로마티카', '조합', '최상', '선택', '컨디셔너', '아로마_사용자', '사용자_긍정', '긍정_반응', '반응_사용법', '사용법_아로마티카', '아로마티카_조합', '조합_최상', '최상_선택', '선택_컨디셔너']",[],,
blog,20260412,헤드앤숄더 후기,지루성두피 샴푸 추천 직접 써본 9가지 비교 유목민 후기 광고 내돈내산 후기 1 Head amp Shoulders 클리니컬 스트렝스 헤드앤숄더 지루성두피 샴푸로 유명해서 직구까지 해서 사용 간지러움은 확실히 덜한 느낌 있음 근데 드라마틱한 개선은 없음,"['지루', '비교', '유목민', '클리니컬', '스트렝스', '지루성두', '유명', '직구', '느낌', '개선']","['지루_비교', '비교_유목민', '유목민_클리니컬', '클리니컬_스트렝스', '스트렝스_지루성두', '지루성두_유명', '유명_직구', '직구_느낌', '느낌_개선']","['지루', '비교', '유목민', '클리니컬', '스트렝스', '지루성두', '유명', '직구', '느낌', '개선', '지루_비교', '비교_유목민', '유목민_클리니컬', '클리니컬_스트렝스', '스트렝스_지루성두', '지루성두_유명', '유명_직구', '직구_느낌', '느낌_개선']",[],,
blog,20260411,헤드앤숄더 후기,좁쌀여드름 모낭염 응급처치 방법 식염수팩 에크린 겔 판테놀 두피 가려움 gt 헤드앤숄더 댄드러프 샴푸 다들 추천하는 이유가 있다 3번 썼는데 정말 최고의 샴푸 식염수팩 후기 빠른 진정에 도움 식염수 드레싱 효과 있느냐 가격 대비 효과 있구요 저는 에크린겔 사용,"['좁쌀여드름', '모낭염', '응급', '처치', '방법', '식염수', '에크린', '판테놀', '댄드러프', '최고', '식염수', '진정', '도움', '식염수', '드레싱', '효과', '대비', '효과', '에크린겔']","['좁쌀여드름_모낭염', '모낭염_응급', '응급_처치', '처치_방법', '방법_식염수', '식염수_에크린', '에크린_판테놀', '판테놀_댄드러프', '댄드러프_최고', '최고_식염수', '식염수_진정', '진정_도움', '도움_식염수', '식염수_드레싱', '드레싱_효과', '효과_대비', '대비_효과', '효과_에크린겔']","['좁쌀여드름', '모낭염', '응급', '처치', '방법', '식염수', '에크린', '판테놀', '댄드러프', '최고', '식염수', '진정', '도움', '식염수', '드레싱', '효과', '대비', '효과', '에크린겔', '좁쌀여드름_모낭염', '모낭염_응급', '응급_처치', '처치_방법', '방법_식염수', '식염수_에크린', '에크린_판테놀', '판테놀_댄드러프', '댄드러프_최고', '최고_식염수', '식염수_진정', '진정_도움', '도움_식염수', '식염수_드레싱', '드레싱_효과', '효과_대비', '대비_효과', '효과_에크린겔']",[],,
blog,20260411,헤드앤숄더 후기,주식 단기 매매 기법으로 실수 없는 투자 가이드 이는 마치 흥선대원군이 척화비를 세운 조선 후기 의 모습과 유사하다고 볼 수 있습니다 당연히 시장의 가장 일반적인 주가 패턴으로는 헤드앤숄더 이중 바닥 삼각형 패턴 등이 있으며 각 패턴은 특정한,"['주식', '단기', '매매', '기법', '실수', '투자', '가이드', '흥선대원군', '조선', '모습', '유사', '시장', '일반', '주가', '패턴', '이중', '바닥', '삼각', '패턴', '패턴', '특정']","['주식_단기', '단기_매매', '매매_기법', '기법_실수', '실수_투자', '투자_가이드', '가이드_흥선대원군', '흥선대원군_조선', '조선_모습', '모습_유사', '유사_시장', '시장_일반', '일반_주가', '주가_패턴', '패턴_이중', '이중_바닥', '바닥_삼각', '삼각_패턴', '패턴_패턴', '패턴_특정']","['주식', '단기', '매매', '기법', '실수', '투자', '가이드', '흥선대원군', '조선', '모습', '유사', '시장', '일반', '주가', '패턴', '이중', '바닥', '삼각', '패턴', '패턴', '특정', '주식_단기', '단기_매매', '매매_기법', '기법_실수', '실수_투자', '투자_가이드', '가이드_흥선대원군', '흥선대원군_조선', '조선_모습', '모습_유사', '유사_시장', '시장_일반', '일반_주가', '주가_패턴', '패턴_이중', '이중_바닥', '바닥_삼각', '삼각_패턴', '패턴_패턴', '패턴_특정']",[],,
blog,20260410,헤드앤숄더 후기,한국 남성이 꼭 써야 하는 탈모 샴푸 추천 남성 후기 개수 최다 수준 2 라보에이치 탈모증상완화 샴푸 진정베이스 특징 과다 피지 조절 건성 각질 비듬형 두피 추천 1 헤드앤숄더 두피 강화형 클리니컬 스트렝스 특징 비듬 각질 개선 효과,"['한국', '남성', '탈모', '남성', '개수', '최다', '수준', '라보', '에이치', '탈모', '증상', '완화', '진정', '베이스', '특징', '과다', '피지', '조절', '건성', '각질', '비듬', '강화', '클리니컬', '스트렝스', '특징', '비듬', '각질', '개선', '효과']","['한국_남성', '남성_탈모', '탈모_남성', '남성_개수', '개수_최다', '최다_수준', '수준_라보', '라보_에이치', '에이치_탈모', '탈모_증상', '증상_완화', '완화_진정', '진정_베이스', '베이스_특징', '특징_과다', '과다_피지', '피지_조절', '조절_건성', '건성_각질', '각질_비듬', '비듬_강화', '강화_클리니컬', '클리니컬_스트렝스', '스트렝스_특징', '특징_비듬', '비듬_각질', '각질_개선', '개선_효과']","['한국', '남성', '탈모', '남성', '개수', '최다', '수준', '라보', '에이치', '탈모', '증상', '완화', '진정', '베이스', '특징', '과다', '피지', '조절', '건성', '각질', '비듬', '강화', '클리니컬', '스트렝스', '특징', '비듬', '각질', '개선', '효과', '한국_남성', '남성_탈모', '탈모_남성', '남성_개수', '개수_최다', '최다_수준', '수준_라보', '라보_에이치', '에이치_탈모', '탈모_증상', '증상_완화', '완화_진정', '진정_베이스', '베이스_특징', '특징_과다', '과다_피지', '피지_조절', '조절_건성', '건성_각질', '각질_비듬', '비듬_강화', '강화_클리니컬', '클리니컬_스트렝스', '스트렝스_특징', '특징_비듬', '비듬_각질', '각질_개선', '개선_효과']",[],,
blog,20260410,헤드앤숄더 후기,헤드앤숄더 비듬샴푸 병행관리 비듬러의 변화 후기 그래서 비듬 관련해서 뭐가 유명한가 알아보니까 헤드앤숄더 비듬샴푸가 유명 하더라고요 근데 어떤 이렇게 후기 를 적어볼게요 이 브랜드 샴푸 한번도 안써본 분들은 아마 없을거라고 생각하는데요,"['비듬', '병행', '관리', '비듬러', '변화', '비듬', '유명', '비듬', '유명']","['비듬_병행', '병행_관리', '관리_비듬러', '비듬러_변화', '변화_비듬', '비듬_유명', '유명_비듬', '비듬_유명']","['비듬', '병행', '관리', '비듬러', '변화', '비듬', '유명', '비듬', '유명', '비듬_병행', '병행_관리', '관리_비듬러', '비듬러_변화', '변화_비듬', '비듬_유명', '유명_비듬', '비듬_유명']",[],,
