scope,source,mode,topic_id,optimal_k,coherence,keywords
blog,blog,unibi_mix,1,7,0.3136,"0.107*""탈모"" + 0.058*""관리"" + 0.044*""비듬"" + 0.024*""케어"" + 0.018*""각질"" + 0.014*""탈모_관리"" + 0.013*""예방"" + 0.013*""하루"""
blog,blog,unibi_mix,2,7,0.3136,"0.053*""냄새"" + 0.050*""비듬"" + 0.029*""스트렝스"" + 0.029*""클리니컬"" + 0.027*""정수리"" + 0.026*""클리니컬_스트렝스"" + 0.023*""정수리_냄새"" + 0.023*""지루"""
blog,blog,unibi_mix,3,7,0.3136,"0.098*""비듬"" + 0.034*""방법"" + 0.028*""관리"" + 0.021*""증상"" + 0.020*""효과"" + 0.017*""각질"" + 0.014*""건성"" + 0.014*""지루"""
blog,blog,unibi_mix,4,7,0.3136,"0.086*""안티트로"" + 0.050*""비듬"" + 0.022*""지성"" + 0.021*""느낌"" + 0.021*""지루"" + 0.020*""고민"" + 0.020*""해결"" + 0.019*""효과"""
blog,blog,unibi_mix,5,7,0.3136,"0.074*""케어"" + 0.065*""비듬"" + 0.034*""솔루션"" + 0.034*""토탈"" + 0.031*""용량"" + 0.031*""토탈_솔루션"" + 0.016*""클린앤밸런스"" + 0.015*""헤드"""
blog,blog,unibi_mix,6,7,0.3136,"0.100*""비듬"" + 0.042*""각질"" + 0.028*""방법"" + 0.025*""관리"" + 0.020*""건강"" + 0.018*""미용실"" + 0.015*""원인"" + 0.014*""케어"""
cafearticle,cafearticle,unigram,0,5,0.3414,"0.106*""각질"" + 0.068*""비듬"" + 0.044*""케어"" + 0.036*""효과"" + 0.035*""건성"" + 0.026*""병원"" + 0.024*""지루"" + 0.017*""원인"""
cafearticle,cafearticle,unigram,1,5,0.3414,"0.051*""케어"" + 0.046*""지루"" + 0.042*""탈모"" + 0.040*""비듬"" + 0.030*""고민"" + 0.024*""지성"" + 0.023*""아이"" + 0.022*""모발"""
cafearticle,cafearticle,unigram,2,5,0.3414,"0.124*""스트렝스"" + 0.098*""클리니컬"" + 0.039*""비듬"" + 0.032*""효과"" + 0.026*""지루"" + 0.014*""안티트로"" + 0.013*""그레이"" + 0.012*""정보"""
cafearticle,cafearticle,unigram,3,5,0.3414,"0.239*""비듬"" + 0.056*""방법"" + 0.027*""효과"" + 0.026*""탈모"" + 0.023*""각질"" + 0.016*""스트레스"" + 0.014*""느낌"" + 0.014*""고민"""
cafearticle,cafearticle,unigram,4,5,0.3414,"0.049*""토탈"" + 0.047*""솔루션"" + 0.039*""클린"" + 0.034*""비듬"" + 0.020*""프로페셔널"" + 0.018*""케어"" + 0.018*""탈모"" + 0.018*""블랙"""
